Input,K_v22,K_v21,Diff
0,0,0,0
8,2520,2520,0
16,2960,2960,0
24,3400,3400,0
32,4060,4060,0
40,4940,4500,440
48,5820,5160,660
56,6700,6040,660
64,7580,7140,440
72,8680,8240,440
80,9780,9340,440
88,10880,10440,440
96,11980,11540,440
104,13080,12640,440
112,14180,13740,440
120,15280,14840,440
128,16380,15940,440
136,17480,17040,440
144,18580,18140,440
152,19680,19240,440
160,20780,20340,440
168,21880,21440,440
176,22980,22540,440
184,24080,23640,440
192,25180,24740,440
200,26280,25840,440
208,27160,26940,220
216,27820,27820,0
224,28480,28480,0
232,29140,29140,0
240,29580,29800,-220
248,30020,30460,-440
255,30680,31120,-440
